nCH	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6		Pulse	Threshold
 [04]	00306	00654	00695	00613	01000	01000		00666	-3100
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3381
 [04]	00306	00654	00695	00613	01000	01000		00065	-2732
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2843
 [04]	00306	00654	00695	00613	01000	01000		00048	-2948
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3183
 [04]	00306	00654	00695	00613	01000	01000		00046	-2509
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2661
 [04]	00306	00654	00695	00613	01000	01000		00049	-2328
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2572
 [04]	00306	00654	00695	00613	01000	01000		00666	-2505
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2952
 [04]	00306	00654	00695	00613	01000	01000		00065	-2829
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3383
 [04]	00306	00654	00695	00613	01000	01000		00048	-2709
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2752
 [04]	00306	00654	00695	00613	01000	01000		00046	-2604
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3192
 [04]	00306	00654	00695	00613	01000	01000		00050	-2731
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3102
 [04]	00306	00654	00695	00613	01000	01000		00666	-3015
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3439
 [04]	00306	00654	00695	00613	01000	01000		00065	-2680
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2956
 [04]	00306	00654	00695	00613	01000	01000		00048	-2880
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3242
 [04]	00306	00654	00695	00613	01000	01000		00046	-2461
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2772
 [04]	00306	00654	00695	00613	01000	01000		00049	-2281
 [04]	00306	00654	00695	00613	01000	01000		-0017	-2668
 [04]	00306	00654	00695	00613	01000	01000		00666	-2466
 [04]	00306	00654	00695	00613	01000	01000		-0017	-3052
 [04]	00306	00654	00695	00613	01000	01000		00065	-2764
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3449
 [04]	00306	00654	00695	00613	01000	01000		00049	-3289
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3129
 [04]	00306	00654	00695	00613	01000	01000		00046	-2543
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3258
 [04]	00306	00654	00695	00613	01000	01000		00050	-2643
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3155
 [04]	00306	00654	00695	00613	01000	01000		00666	-2924
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3500
 [04]	00306	00654	00695	00613	01000	01000		00066	-3224
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3297
 [04]	00306	00654	00695	00613	01000	01000		00048	-2810
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3294
 [04]	00306	00654	00695	00613	01000	01000		00047	-3000
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3112
 [04]	00306	00654	00695	00613	01000	01000		00050	-2856
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3010
 [04]	00306	00654	00695	00613	01000	01000		00666	-3031
 [04]	00306	00654	00695	00613	01000	01000		-0016	-3403
 [04]	00306	00654	00695	00613	01000	01000		00065	-2702
